verb	subject	tense	frame	sentence1	sentence2	negraising	acceptability
discuss	first	past	NP V that S	I didn't discuss that a particular thing happened.	I discussed that that thing didn't happen.	0.3317071	0.7429987
discuss	first	past	NP V to VP[+eventive]	I didn't discuss to do a particular thing.	I discussed not to do that thing.	0.5795975	0.4608306
discuss	first	present	NP V that S	I don't discuss that a particular thing happened.	I discuss that that thing didn't happen.	0.223981	0.5398651
discuss	third	past	NP V that S	A particular person didn't discuss that a particular thing happened.	That person discussed that that thing didn't happen.	0.3002956	0.47692266
discuss	third	past	NP V to VP[+eventive]	A particular person didn't discuss to do a particular thing.	That person discussed not to do that thing.	0.15511788	0.5596955
discuss	third	present	NP V that S	A particular person doesn't discuss that a particular thing happened.	That person discusses that that thing didn't happen.	0.41760063	0.62064666
disgrace	first	past	NP be V that S	I wasn't disgraced that a particular thing happened.	I was disgraced that that thing didn't happen.	0.17538223	0.547941
disgrace	first	past	NP be V to VP[-eventive]	I wasn't disgraced to have a particular thing.	I was disgraced not to have that thing.	0.11678314	0.51462
disgrace	first	present	NP be V that S	I'm not disgraced that a particular thing happened.	I'm disgraced that that thing didn't happen.	0.19660509	0.545993
disgrace	first	present	NP be V to VP[-eventive]	I'm not disgraced to have a particular thing.	I'm disgraced not to have that thing.	0.4289902	0.72876155
disgrace	third	past	NP be V that S	A particular person wasn't disgraced that a particular thing happened.	That person was disgraced that that thing didn't happen.	0.16929355	0.551997
disgrace	third	past	NP be V to VP[-eventive]	A particular person wasn't disgraced to have a particular thing.	That person was disgraced not to have that thing.	0.28138784	0.71918494
disgrace	third	present	NP be V that S	A particular person isn't disgraced that a particular thing happened.	That person is disgraced that that thing didn't happen.	0.15757145	0.6146007
disgrace	third	present	NP be V to VP[-eventive]	A particular person isn't disgraced to have a particular thing.	That person is disgraced not to have that thing.	0.24910621	0.5948584
disgruntle	first	past	NP be V that S	I wasn't disgruntled that a particular thing happened.	I was disgruntled that that thing didn't happen.	0.08331859	0.74395055
disgruntle	first	past	NP be V to VP[-eventive]	I wasn't disgruntled to have a particular thing.	I was disgruntled not to have that thing.	0.39416862	0.5002836
disgruntle	first	present	NP be V that S	I'm not disgruntled that a particular thing happened.	I'm disgruntled that that thing didn't happen.	0.29457772	0.74541533
disgruntle	first	present	NP be V to VP[+eventive]	I'm not disgruntled to do a particular thing.	I'm disgruntled not to do that thing.	0.28731117	0.52132046
disgruntle	first	present	NP be V to VP[-eventive]	I'm not disgruntled to have a particular thing.	I'm disgruntled not to have that thing.	0.28893638	0.6144143
disgruntle	third	past	NP be V that S	A particular person wasn't disgruntled that a particular thing happened.	That person was disgruntled that that thing didn't happen.	0.3639956	0.49685007
disgruntle	third	past	NP be V to VP[-eventive]	A particular person wasn't disgruntled to have a particular thing.	That person was disgruntled not to have that thing.	0.33715078	0.62976325
disgruntle	third	present	NP be V that S	A particular person isn't disgruntled that a particular thing happened.	That person is disgruntled that that thing didn't happen.	0.3100918	0.47807506
disgruntle	third	present	NP be V to VP[+eventive]	A particular person isn't disgruntled to do a particular thing.	That person is disgruntled not to do that thing.	0.40876976	0.6445065
disgruntle	third	present	NP be V to VP[-eventive]	A particular person isn't disgruntled to have a particular thing.	That person is disgruntled not to have that thing.	0.30309573	0.5928484
disgust	first	past	NP be V that S	I wasn't disgusted that a particular thing happened.	I was disgusted that that thing didn't happen.	0.075771615	0.7672948
disgust	first	past	NP be V to VP[+eventive]	I wasn't disgusted to do a particular thing.	I was disgusted not to do that thing.	0.21376881	0.62414265
disgust	first	past	NP be V to VP[-eventive]	I wasn't disgusted to have a particular thing.	I was disgusted not to have that thing.	0.22697408	0.5975382
disgust	first	present	NP be V that S	I'm not disgusted that a particular thing happened.	I'm disgusted that that thing didn't happen.	0.15342753	0.5461773
disgust	first	present	NP be V to VP[+eventive]	I'm not disgusted to do a particular thing.	I'm disgusted not to do that thing.	0.20601793	0.8172562
disgust	first	present	NP be V to VP[-eventive]	I'm not disgusted to have a particular thing.	I'm disgusted not to have that thing.	0.44434255	0.5243043
disgust	third	past	NP be V that S	A particular person wasn't disgusted that a particular thing happened.	That person was disgusted that that thing didn't happen.	0.37537774	0.7723712
disgust	third	past	NP be V to VP[+eventive]	A particular person wasn't disgusted to do a particular thing.	That person was disgusted not to do that thing.	0.19451249	0.673168
disgust	third	past	NP be V to VP[-eventive]	A particular person wasn't disgusted to have a particular thing.	That person was disgusted not to have that thing.	0.4067948	0.53487414
disgust	third	present	NP be V that S	A particular person isn't disgusted that a particular thing happened.	That person is disgusted that that thing didn't happen.	0.22916017	0.5260167
disgust	third	present	NP be V to VP[+eventive]	A particular person isn't disgusted to do a particular thing.	That person is disgusted not to do that thing.	0.41842175	0.6845703
disgust	third	present	NP be V to VP[-eventive]	A particular person isn't disgusted to have a particular thing.	That person is disgusted not to have that thing.	0.32620245	0.56543493
dishearten	first	past	NP be V that S	I wasn't disheartened that a particular thing happened.	I was disheartened that that thing didn't happen.	0.2500744	0.61405855
dishearten	first	past	NP be V to VP[+eventive]	I wasn't disheartened to do a particular thing.	I was disheartened not to do that thing.	0.15659076	0.5101677
dishearten	first	present	NP be V that S	I'm not disheartened that a particular thing happened.	I'm disheartened that that thing didn't happen.	0.32684186	0.78152514
dishearten	third	past	NP be V that S	A particular person wasn't disheartened that a particular thing happened.	That person was disheartened that that thing didn't happen.	0.36008903	0.62717825
dishearten	third	past	NP be V to VP[+eventive]	A particular person wasn't disheartened to do a particular thing.	That person was disheartened not to do that thing.	0.25845417	0.44181225
dishearten	third	present	NP be V that S	A particular person isn't disheartened that a particular thing happened.	That person is disheartened that that thing didn't happen.	0.418814	0.51822054
disillusion	first	past	NP V to VP[-eventive]	I didn't disillusion to have a particular thing.	I disillusioned not to have that thing.	0.34289032	0.2242559
disillusion	first	past	NP be V that S	I wasn't disillusioned that a particular thing happened.	I was disillusioned that that thing didn't happen.	0.19221348	0.53932726
disillusion	first	past	NP be V to VP[+eventive]	I wasn't disillusioned to do a particular thing.	I was disillusioned not to do that thing.	0.2829832	0.41731048
disillusion	first	past	NP be V to VP[-eventive]	I wasn't disillusioned to have a particular thing.	I was disillusioned not to have that thing.	0.37816525	0.52269316
disillusion	first	present	NP be V that S	I'm not disillusioned that a particular thing happened.	I'm disillusioned that that thing didn't happen.	0.37723175	0.70580184
disillusion	third	past	NP V to VP[-eventive]	A particular person didn't disillusion to have a particular thing.	That person disillusioned not to have that thing.	0.3400434	0.41273248
disillusion	third	past	NP be V that S	A particular person wasn't disillusioned that a particular thing happened.	That person was disillusioned that that thing didn't happen.	0.47480592	0.5550665
disillusion	third	past	NP be V to VP[+eventive]	A particular person wasn't disillusioned to do a particular thing.	That person was disillusioned not to do that thing.	0.38659915	0.49618906
disillusion	third	past	NP be V to VP[-eventive]	A particular person wasn't disillusioned to have a particular thing.	That person was disillusioned not to have that thing.	0.16096814	0.4991832
disillusion	third	present	NP be V that S	A particular person isn't disillusioned that a particular thing happened.	That person is disillusioned that that thing didn't happen.	0.31246668	0.526207
dislike	first	past	NP V that S	I didn't dislike that a particular thing happened.	I disliked that that thing didn't happen.	0.41494033	0.5482614
dislike	first	past	NP V to VP[+eventive]	I didn't dislike to do a particular thing.	I disliked not to do that thing.	0.42595136	0.59693867
dislike	first	past	NP V to VP[-eventive]	I didn't dislike to have a particular thing.	I disliked not to have that thing.	0.3202845	0.61720586
dislike	first	present	NP V that S	I don't dislike that a particular thing happened.	I dislike that that thing didn't happen.	0.106666006	0.74538475
dislike	first	present	NP V to VP[+eventive]	I don't dislike to do a particular thing.	I dislike not to do that thing.	0.18185699	0.73909366
dislike	third	past	NP V that S	A particular person didn't dislike that a particular thing happened.	That person disliked that that thing didn't happen.	0.23427123	0.68909645
dislike	third	past	NP V to VP[+eventive]	A particular person didn't dislike to do a particular thing.	That person disliked not to do that thing.	0.20531397	0.54056257
dislike	third	past	NP V to VP[-eventive]	A particular person didn't dislike to have a particular thing.	That person disliked not to have that thing.	0.36611	0.43918255
dislike	third	present	NP V that S	A particular person doesn't dislike that a particular thing happened.	That person dislikes that that thing didn't happen.	0.3776623	0.58024424
dislike	third	present	NP V to VP[+eventive]	A particular person doesn't dislike to do a particular thing.	That person dislikes not to do that thing.	0.28894943	0.49624178
dismay	first	past	NP V that S	I didn't dismay that a particular thing happened.	I dismayed that that thing didn't happen.	0.27953923	0.33924383
dismay	first	past	NP be V that S	I wasn't dismayed that a particular thing happened.	I was dismayed that that thing didn't happen.	0.42125615	0.5000113
dismay	first	past	NP be V to VP[+eventive]	I wasn't dismayed to do a particular thing.	I was dismayed not to do that thing.	0.3570726	0.5730139
dismay	first	past	NP be V to VP[-eventive]	I wasn't dismayed to have a particular thing.	I was dismayed not to have that thing.	0.36206102	0.4974298
dismay	first	present	NP be V that S	I'm not dismayed that a particular thing happened.	I'm dismayed that that thing didn't happen.	0.41111898	0.82184064
dismay	first	present	NP be V to VP[+eventive]	I'm not dismayed to do a particular thing.	I'm dismayed not to do that thing.	0.4113199	0.54479396
dismay	third	past	NP V that S	A particular person didn't dismay that a particular thing happened.	That person dismayed that that thing didn't happen.	0.3296135	0.22607884
dismay	third	past	NP be V that S	A particular person wasn't dismayed that a particular thing happened.	That person was dismayed that that thing didn't happen.	0.33848837	0.6364684
dismay	third	past	NP be V to VP[+eventive]	A particular person wasn't dismayed to do a particular thing.	That person was dismayed not to do that thing.	0.22458701	0.4927048
dismay	third	past	NP be V to VP[-eventive]	A particular person wasn't dismayed to have a particular thing.	That person was dismayed not to have that thing.	0.30560595	0.65318614
dismay	third	present	NP be V that S	A particular person isn't dismayed that a particular thing happened.	That person is dismayed that that thing didn't happen.	0.3071356	0.628064
dismay	third	present	NP be V to VP[+eventive]	A particular person isn't dismayed to do a particular thing.	That person is dismayed not to do that thing.	0.3806015	0.63476026
dismiss	first	past	NP V that S	I didn't dismiss that a particular thing happened.	I dismissed that that thing didn't happen.	0.03554564	0.61575216
dismiss	first	past	NP be V to VP[+eventive]	I wasn't dismissed to do a particular thing.	I was dismissed not to do that thing.	0.40864766	0.54281545
dismiss	first	present	NP V that S	I don't dismiss that a particular thing happened.	I dismiss that that thing didn't happen.	0.31447795	0.64526224
dismiss	first	present	NP be V to VP[+eventive]	I'm not dismissed to do a particular thing.	I'm dismissed not to do that thing.	0.5222267	0.40898868
dismiss	third	past	NP V that S	A particular person didn't dismiss that a particular thing happened.	That person dismissed that that thing didn't happen.	0.36799002	0.5805308
dismiss	third	past	NP be V to VP[+eventive]	A particular person wasn't dismissed to do a particular thing.	That person was dismissed not to do that thing.	0.219874	0.41526684
dismiss	third	present	NP V that S	A particular person doesn't dismiss that a particular thing happened.	That person dismisses that that thing didn't happen.	0.32865804	0.53413934
dismiss	third	present	NP be V to VP[+eventive]	A particular person isn't dismissed to do a particular thing.	That person is dismissed not to do that thing.	0.27097782	0.45289734
disparage	first	past	NP be V to VP[-eventive]	I wasn't disparaged to have a particular thing.	I was disparaged not to have that thing.	0.38270727	0.5090602
disparage	first	present	NP be V to VP[-eventive]	I'm not disparaged to have a particular thing.	I'm disparaged not to have that thing.	0.30059797	0.4588337
disparage	third	past	NP be V to VP[-eventive]	A particular person wasn't disparaged to have a particular thing.	That person was disparaged not to have that thing.	0.41203308	0.48429823
disparage	third	present	NP be V to VP[-eventive]	A particular person isn't disparaged to have a particular thing.	That person is disparaged not to have that thing.	0.512157	0.44200012
dispatch	first	past	NP V that S	I didn't dispatch that a particular thing happened.	I dispatched that that thing didn't happen.	0.3400849	0.4341365
dispatch	first	past	NP V to VP[+eventive]	I didn't dispatch to do a particular thing.	I dispatched not to do that thing.	0.3780286	0.36475983
dispatch	first	past	NP be V to VP[+eventive]	I wasn't dispatched to do a particular thing.	I was dispatched not to do that thing.	0.26828954	0.5758031
dispatch	first	present	NP be V to VP[+eventive]	I'm not dispatched to do a particular thing.	I'm dispatched not to do that thing.	0.18489738	0.6076127
dispatch	third	past	NP V that S	A particular person didn't dispatch that a particular thing happened.	That person dispatched that that thing didn't happen.	0.38755128	0.44669002
dispatch	third	past	NP V to VP[+eventive]	A particular person didn't dispatch to do a particular thing.	That person dispatched not to do that thing.	0.25973195	0.47627053
dispatch	third	past	NP be V to VP[+eventive]	A particular person wasn't dispatched to do a particular thing.	That person was dispatched not to do that thing.	0.20614535	0.49186552
dispatch	third	present	NP be V to VP[+eventive]	A particular person isn't dispatched to do a particular thing.	That person is dispatched not to do that thing.	0.41993436	0.5062473
dispel	first	past	NP V that S	I didn't dispel that a particular thing happened.	I dispelled that that thing didn't happen.	0.4335111	0.42744377
dispel	first	past	NP be V that S	I wasn't dispelled that a particular thing happened.	I was dispelled that that thing didn't happen.	0.40538788	0.46729538
dispel	first	present	NP be V that S	I'm not dispelled that a particular thing happened.	I'm dispelled that that thing didn't happen.	0.40929157	0.4567468
dispel	third	past	NP V that S	A particular person didn't dispel that a particular thing happened.	That person dispelled that that thing didn't happen.	0.81972003	0.4269115
dispel	third	past	NP be V that S	A particular person wasn't dispelled that a particular thing happened.	That person was dispelled that that thing didn't happen.	0.27262422	0.40247324
dispel	third	present	NP be V that S	A particular person isn't dispelled that a particular thing happened.	That person is dispelled that that thing didn't happen.	0.34261715	0.26007935
dispirit	first	past	NP be V that S	I wasn't dispirited that a particular thing happened.	I was dispirited that that thing didn't happen.	0.3288495	0.500332
dispirit	first	past	NP be V to VP[+eventive]	I wasn't dispirited to do a particular thing.	I was dispirited not to do that thing.	0.4146403	0.5255642
dispirit	third	past	NP be V that S	A particular person wasn't dispirited that a particular thing happened.	That person was dispirited that that thing didn't happen.	0.3096368	0.55244386
dispirit	third	past	NP be V to VP[+eventive]	A particular person wasn't dispirited to do a particular thing.	That person was dispirited not to do that thing.	0.3631224	0.49696603
display	first	past	NP V that S	I didn't display that a particular thing happened.	I displayed that that thing didn't happen.	0.4075366	0.49526432
display	first	present	NP V that S	I don't display that a particular thing happened.	I display that that thing didn't happen.	0.38290808	0.4997249
display	third	past	NP V that S	A particular person didn't display that a particular thing happened.	That person displayed that that thing didn't happen.	0.40439472	0.51680565
display	third	present	NP V that S	A particular person doesn't display that a particular thing happened.	That person displays that that thing didn't happen.	0.4185458	0.30033237
displease	first	past	NP be V that S	I wasn't displeased that a particular thing happened.	I was displeased that that thing didn't happen.	0.44343823	0.7295637
displease	first	past	NP be V to VP[+eventive]	I wasn't displeased to do a particular thing.	I was displeased not to do that thing.	0.14266825	0.6532125
displease	first	past	NP be V to VP[-eventive]	I wasn't displeased to have a particular thing.	I was displeased not to have that thing.	0.23729031	0.77639335
displease	first	present	NP be V to VP[+eventive]	I'm not displeased to do a particular thing.	I'm displeased not to do that thing.	0.367374	0.5338888
displease	first	present	NP be V to VP[-eventive]	I'm not displeased to have a particular thing.	I'm displeased not to have that thing.	0.34228706	0.6222741
displease	third	past	NP be V that S	A particular person wasn't displeased that a particular thing happened.	That person was displeased that that thing didn't happen.	0.24720986	0.67504233
displease	third	past	NP be V to VP[+eventive]	A particular person wasn't displeased to do a particular thing.	That person was displeased not to do that thing.	0.40915906	0.48214725
displease	third	past	NP be V to VP[-eventive]	A particular person wasn't displeased to have a particular thing.	That person was displeased not to have that thing.	0.44157833	0.52547127
displease	third	present	NP be V to VP[+eventive]	A particular person isn't displeased to do a particular thing.	That person is displeased not to do that thing.	0.19759509	0.5322224
displease	third	present	NP be V to VP[-eventive]	A particular person isn't displeased to have a particular thing.	That person is displeased not to have that thing.	0.342008	0.56374604
disprove	first	past	NP V that S	I didn't disprove that a particular thing happened.	I disproved that that thing didn't happen.	0.455124	0.59486187
disprove	first	past	NP V to VP[-eventive]	I didn't disprove to have a particular thing.	I disproved not to have that thing.	0.23803428	0.5263441
disprove	first	past	NP be V that S	I wasn't disproved that a particular thing happened.	I was disproved that that thing didn't happen.	0.36126187	0.44005322
disprove	first	past	NP be V to VP[+eventive]	I wasn't disproved to do a particular thing.	I was disproved not to do that thing.	0.31287548	0.43698788
disprove	first	past	NP be V to VP[-eventive]	I wasn't disproved to have a particular thing.	I was disproved not to have that thing.	0.5436288	0.39691204
disprove	first	present	NP be V that S	I'm not disproved that a particular thing happened.	I'm disproved that that thing didn't happen.	0.3237866	0.46340236
disprove	third	past	NP V that S	A particular person didn't disprove that a particular thing happened.	That person disproved that that thing didn't happen.	0.40155154	0.5247987
disprove	third	past	NP V to VP[-eventive]	A particular person didn't disprove to have a particular thing.	That person disproved not to have that thing.	0.28433448	0.48343953
disprove	third	past	NP be V that S	A particular person wasn't disproved that a particular thing happened.	That person was disproved that that thing didn't happen.	0.3809002	0.507998
disprove	third	past	NP be V to VP[+eventive]	A particular person wasn't disproved to do a particular thing.	That person was disproved not to do that thing.	0.23647131	0.36480057
disprove	third	past	NP be V to VP[-eventive]	A particular person wasn't disproved to have a particular thing.	That person was disproved not to have that thing.	0.2521014	0.2844777
disprove	third	present	NP be V that S	A particular person isn't disproved that a particular thing happened.	That person is disproved that that thing didn't happen.	0.44938207	0.4709887
dispute	first	past	NP V that S	I didn't dispute that a particular thing happened.	I disputed that that thing didn't happen.	0.25944445	0.78434217
dispute	first	past	NP V to VP[-eventive]	I didn't dispute to have a particular thing.	I disputed not to have that thing.	0.46253484	0.53360164
dispute	first	past	NP be V that S	I wasn't disputed that a particular thing happened.	I was disputed that that thing didn't happen.	0.2585564	0.4986023
dispute	first	present	NP V that S	I don't dispute that a particular thing happened.	I dispute that that thing didn't happen.	0.3876357	0.53119296
dispute	third	past	NP V that S	A particular person didn't dispute that a particular thing happened.	That person disputed that that thing didn't happen.	0.3941567	0.6243927
dispute	third	past	NP V to VP[-eventive]	A particular person didn't dispute to have a particular thing.	That person disputed not to have that thing.	0.30026817	0.5611553
dispute	third	past	NP be V that S	A particular person wasn't disputed that a particular thing happened.	That person was disputed that that thing didn't happen.	0.25937602	0.48352122
dispute	third	present	NP V that S	A particular person doesn't dispute that a particular thing happened.	That person disputes that that thing didn't happen.	0.33861235	0.7335569
disquiet	first	past	NP be V that S	I wasn't disquieted that a particular thing happened.	I was disquieted that that thing didn't happen.	0.28175586	0.5232053
disquiet	first	past	NP be V to VP[+eventive]	I wasn't disquieted to do a particular thing.	I was disquieted not to do that thing.	0.30829865	0.49192348
disquiet	third	past	NP be V that S	A particular person wasn't disquieted that a particular thing happened.	That person was disquieted that that thing didn't happen.	0.41477242	0.4546753
disquiet	third	past	NP be V to VP[+eventive]	A particular person wasn't disquieted to do a particular thing.	That person was disquieted not to do that thing.	0.38566965	0.35255235
disregard	first	past	NP V that S	I didn't disregard that a particular thing happened.	I disregarded that that thing didn't happen.	0.31736857	0.635695
disregard	first	past	NP V to VP[+eventive]	I didn't disregard to do a particular thing.	I disregarded not to do that thing.	0.3666696	0.4117641
disregard	first	present	NP V that S	I don't disregard that a particular thing happened.	I disregard that that thing didn't happen.	0.40833527	0.595151
disregard	third	past	NP V that S	A particular person didn't disregard that a particular thing happened.	That person disregarded that that thing didn't happen.	0.30981207	0.492232
disregard	third	past	NP V to VP[+eventive]	A particular person didn't disregard to do a particular thing.	That person disregarded not to do that thing.	0.38158193	0.4780952
disregard	third	present	NP V that S	A particular person doesn't disregard that a particular thing happened.	That person disregards that that thing didn't happen.	0.5545943	0.55005336
dissatisfy	first	past	NP be V that S	I wasn't dissatisfied that a particular thing happened.	I was dissatisfied that that thing didn't happen.	0.38402316	0.68566126
dissatisfy	first	past	NP be V to VP[+eventive]	I wasn't dissatisfied to do a particular thing.	I was dissatisfied not to do that thing.	0.32230607	0.6129253
dissatisfy	first	past	NP be V to VP[-eventive]	I wasn't dissatisfied to have a particular thing.	I was dissatisfied not to have that thing.	0.3795746	0.5417412
dissatisfy	first	present	NP be V that S	I'm not dissatisfied that a particular thing happened.	I'm dissatisfied that that thing didn't happen.	0.37824872	0.59398305
dissatisfy	first	present	NP be V to VP[-eventive]	I'm not dissatisfied to have a particular thing.	I'm dissatisfied not to have that thing.	0.3625515	0.5688235
dissatisfy	third	past	NP be V that S	A particular person wasn't dissatisfied that a particular thing happened.	That person was dissatisfied that that thing didn't happen.	0.37799737	0.56866676
dissatisfy	third	past	NP be V to VP[+eventive]	A particular person wasn't dissatisfied to do a particular thing.	That person was dissatisfied not to do that thing.	0.3630976	0.4961633
dissatisfy	third	past	NP be V to VP[-eventive]	A particular person wasn't dissatisfied to have a particular thing.	That person was dissatisfied not to have that thing.	0.17008421	0.548315
dissatisfy	third	present	NP be V that S	A particular person isn't dissatisfied that a particular thing happened.	That person is dissatisfied that that thing didn't happen.	0.37931105	0.72418267
dissatisfy	third	present	NP be V to VP[-eventive]	A particular person isn't dissatisfied to have a particular thing.	That person is dissatisfied not to have that thing.	0.35983244	0.6370041
distract	first	past	NP be V that S	I wasn't distracted that a particular thing happened.	I was distracted that that thing didn't happen.	0.13800167	0.55964935
distract	third	past	NP be V that S	A particular person wasn't distracted that a particular thing happened.	That person was distracted that that thing didn't happen.	0.19763105	0.6156864
distress	first	past	NP V to VP[+eventive]	I didn't distress to do a particular thing.	I distressed not to do that thing.	0.17097123	0.44131893
distress	first	past	NP be V that S	I wasn't distressed that a particular thing happened.	I was distressed that that thing didn't happen.	0.19442603	0.6624708
distress	first	present	NP be V that S	I'm not distressed that a particular thing happened.	I'm distressed that that thing didn't happen.	0.1772661	0.7390446
distress	third	past	NP V to VP[+eventive]	A particular person didn't distress to do a particular thing.	That person distressed not to do that thing.	0.09588243	0.2840461
distress	third	past	NP be V that S	A particular person wasn't distressed that a particular thing happened.	That person was distressed that that thing didn't happen.	0.24909285	0.6725089
distress	third	present	NP be V that S	A particular person isn't distressed that a particular thing happened.	That person is distressed that that thing didn't happen.	0.19605273	0.7080285
distrust	first	past	NP V that S	I didn't distrust that a particular thing happened.	I distrusted that that thing didn't happen.	0.4128517	0.5115659
distrust	first	past	NP be V to VP[+eventive]	I wasn't distrusted to do a particular thing.	I was distrusted not to do that thing.	0.40184844	0.52689904
distrust	first	past	NP be V to VP[-eventive]	I wasn't distrusted to have a particular thing.	I was distrusted not to have that thing.	0.4184382	0.26957667
distrust	first	present	NP V that S	I don't distrust that a particular thing happened.	I distrust that that thing didn't happen.	0.415011	0.5674102
distrust	first	present	NP be V to VP[+eventive]	I'm not distrusted to do a particular thing.	I'm distrusted not to do that thing.	0.3469446	0.33845013
distrust	third	past	NP V that S	A particular person didn't distrust that a particular thing happened.	That person distrusted that that thing didn't happen.	0.3174469	0.61464065
distrust	third	past	NP be V to VP[+eventive]	A particular person wasn't distrusted to do a particular thing.	That person was distrusted not to do that thing.	0.26507914	0.5431454
distrust	third	past	NP be V to VP[-eventive]	A particular person wasn't distrusted to have a particular thing.	That person was distrusted not to have that thing.	0.30658695	0.29726505
distrust	third	present	NP V that S	A particular person doesn't distrust that a particular thing happened.	That person distrusts that that thing didn't happen.	0.40787703	0.50291336
distrust	third	present	NP be V to VP[+eventive]	A particular person isn't distrusted to do a particular thing.	That person is distrusted not to do that thing.	0.40741324	0.53302336
disturb	first	past	NP be V that S	I wasn't disturbed that a particular thing happened.	I was disturbed that that thing didn't happen.	0.21199484	0.78269756
disturb	first	past	NP be V to VP[+eventive]	I wasn't disturbed to do a particular thing.	I was disturbed not to do that thing.	0.29471067	0.5643832
disturb	first	past	NP be V to VP[-eventive]	I wasn't disturbed to have a particular thing.	I was disturbed not to have that thing.	0.26317915	0.58309144
disturb	first	present	NP be V that S	I'm not disturbed that a particular thing happened.	I'm disturbed that that thing didn't happen.	0.3749584	0.942955
disturb	third	past	NP be V that S	A particular person wasn't disturbed that a particular thing happened.	That person was disturbed that that thing didn't happen.	0.41471627	0.61997026
disturb	third	past	NP be V to VP[+eventive]	A particular person wasn't disturbed to do a particular thing.	That person was disturbed not to do that thing.	0.35201913	0.50347686
disturb	third	past	NP be V to VP[-eventive]	A particular person wasn't disturbed to have a particular thing.	That person was disturbed not to have that thing.	0.35801268	0.53424984
disturb	third	present	NP be V that S	A particular person isn't disturbed that a particular thing happened.	That person is disturbed that that thing didn't happen.	0.35069427	0.67925984
dither	first	past	NP V to VP[-eventive]	I didn't dither to have a particular thing.	I dithered not to have that thing.	0.4145024	0.38175055
dither	third	past	NP V to VP[-eventive]	A particular person didn't dither to have a particular thing.	That person dithered not to have that thing.	0.29147187	0.43220866
divulge	first	past	NP V that S	I didn't divulge that a particular thing happened.	I divulged that that thing didn't happen.	0.47096404	0.56899375
divulge	first	past	NP V to VP[+eventive]	I didn't divulge to do a particular thing.	I divulged not to do that thing.	0.43159455	0.5005977
divulge	first	past	NP V to VP[-eventive]	I didn't divulge to have a particular thing.	I divulged not to have that thing.	0.41903582	0.49999404
divulge	first	past	NP be V to VP[+eventive]	I wasn't divulged to do a particular thing.	I was divulged not to do that thing.	0.34252676	0.53197426
divulge	first	past	NP be V to VP[-eventive]	I wasn't divulged to have a particular thing.	I was divulged not to have that thing.	0.35488516	0.51347274
divulge	first	present	NP V that S	I don't divulge that a particular thing happened.	I divulge that that thing didn't happen.	0.4220064	0.70789754
divulge	first	present	NP V to VP[-eventive]	I don't divulge to have a particular thing.	I divulge not to have that thing.	0.41432232	0.5337967
divulge	third	past	NP V that S	A particular person didn't divulge that a particular thing happened.	That person divulged that that thing didn't happen.	0.3983815	0.4973018
divulge	third	past	NP V to VP[+eventive]	A particular person didn't divulge to do a particular thing.	That person divulged not to do that thing.	0.414714	0.48490936
divulge	third	past	NP V to VP[-eventive]	A particular person didn't divulge to have a particular thing.	That person divulged not to have that thing.	0.45060807	0.630862
divulge	third	past	NP be V to VP[+eventive]	A particular person wasn't divulged to do a particular thing.	That person was divulged not to do that thing.	0.40688723	0.48254785
divulge	third	past	NP be V to VP[-eventive]	A particular person wasn't divulged to have a particular thing.	That person was divulged not to have that thing.	0.36597562	0.49744064
divulge	third	present	NP V that S	A particular person doesn't divulge that a particular thing happened.	That person divulges that that thing didn't happen.	0.3106647	0.5715337
divulge	third	present	NP V to VP[-eventive]	A particular person doesn't divulge to have a particular thing.	That person divulges not to have that thing.	0.4299262	0.54431677
document	first	past	NP V that S	I didn't document that a particular thing happened.	I documented that that thing didn't happen.	0.39435637	0.68405473
document	first	past	NP be V to VP[-eventive]	I wasn't documented to have a particular thing.	I was documented not to have that thing.	0.41981032	0.5564703
document	first	present	NP V that S	I don't document that a particular thing happened.	I document that that thing didn't happen.	0.4028315	0.62143147
document	first	present	NP be V to VP[-eventive]	I'm not documented to have a particular thing.	I'm documented not to have that thing.	0.34737962	0.4993936
document	third	past	NP V that S	A particular person didn't document that a particular thing happened.	That person documented that that thing didn't happen.	0.31324837	0.81773704
document	third	past	NP be V to VP[-eventive]	A particular person wasn't documented to have a particular thing.	That person was documented not to have that thing.	0.40494293	0.5495678
document	third	present	NP V that S	A particular person doesn't document that a particular thing happened.	That person documents that that thing didn't happen.	0.34581327	0.5157869
document	third	present	NP be V to VP[-eventive]	A particular person isn't documented to have a particular thing.	That person is documented not to have that thing.	0.35225254	0.6241755
doubt	first	past	NP V that S	I didn't doubt that a particular thing happened.	I doubted that that thing didn't happen.	0.32719758	0.73543376
doubt	first	past	NP be V to VP[+eventive]	I wasn't doubted to do a particular thing.	I was doubted not to do that thing.	0.43428728	0.5634788
doubt	first	past	NP be V to VP[-eventive]	I wasn't doubted to have a particular thing.	I was doubted not to have that thing.	0.3021086	0.58274853
doubt	first	present	NP V that S	I don't doubt that a particular thing happened.	I doubt that that thing didn't happen.	0.4270753	0.5620199
doubt	third	past	NP V that S	A particular person didn't doubt that a particular thing happened.	That person doubted that that thing didn't happen.	0.4075368	0.85794747
doubt	third	past	NP be V to VP[+eventive]	A particular person wasn't doubted to do a particular thing.	That person was doubted not to do that thing.	0.24090049	0.5262485
doubt	third	past	NP be V to VP[-eventive]	A particular person wasn't doubted to have a particular thing.	That person was doubted not to have that thing.	0.40136003	0.5051911
